                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.85121,                 2.3406,                 2.7494,                 1.3089,                0.74683,                   0.95,                0.96221,                0.73061,                0.68201,                0.86667,                 0.8744,                0.61667,                 1.2576,                 1.8516,                0.66951,                 1.1763,                      0,                      0,                      0
                      2,                0.57542,                 3.0014,                 2.3033,                0.99339,                0.76549,                   0.95,                0.96232,                0.73277,                 0.7318,                 0.9163,                0.92829,                0.62258,                 1.2593,                 1.8323,                0.66647,                 1.1794,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                0.69051,                 1.8908,                 1.7858,                 1.1138,                0.78219,                   0.95,                0.96302,                0.72846,                0.74388,                0.91169,                0.92899,                0.62287,                 1.2645,                 1.8329,                0.67068,                 1.1817,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                0.77583,                 2.4885,                 1.9601,                 1.1738,                0.79085,                   0.95,                0.96134,                0.72703,                0.74957,                0.90872,                0.92939,                0.62431,                 1.2571,                 1.8212,                0.67441,                   1.18,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                0.61146,                 2.3896,                 1.3169,                 1.0336,                0.82234,                0.96667,                0.97583,                  0.737,                0.75653,                0.90464,                0.93195,                0.62478,                  1.245,                 1.8157,                0.67564,                 1.1769,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                 0.7705,                 2.3498,                 1.5307,                 1.0233,                0.82958,                0.96667,                0.97582,                0.73697,                0.76027,                0.90127,                0.93402,                0.62541,                 1.2424,                 1.8107,                0.67818,                 1.1792,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                 0.7492,                 2.2768,                  1.613,                 1.1924,                0.84057,                0.96667,                 0.9772,                0.73773,                0.76747,                0.89772,                0.93614,                0.62707,                 1.2515,                 1.8158,                0.67455,                 1.1848,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                0.96021,                 2.0576,                 2.0569,                 1.3493,                0.84218,                0.94977,                 0.9772,                0.73771,                0.77431,                0.87687,                0.93615,                0.62714,                 1.2518,                   1.82,                  0.671,                 1.1875,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                0.72674,                 1.9372,                 1.3366,                 1.0294,                 0.8397,                0.94567,                0.97721,                0.73957,                0.78678,                0.84137,                0.89076,                0.62342,                  1.247,                 1.8246,                0.66905,                 1.1849,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                0.61633,                 1.5563,                 1.0043,                0.99776,                0.83379,                0.94668,                0.97722,                0.73411,                0.79294,                 0.8273,                0.89178,                0.62461,                  1.245,                 1.8445,                0.66959,                 1.1865,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                0.46834,                 1.2212,                0.89447,                0.97759,                0.83594,                0.94349,                0.97722,                0.74401,                0.76871,                0.88988,                0.94944,                0.64152,                 1.2408,                 1.8514,                0.67562,                 1.1871,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                0.73623,                 1.3559,                 1.4361,                 1.2203,                0.83259,                0.94335,                0.97474,                0.74269,                0.76737,                0.87812,                0.93773,                0.63932,                 1.2383,                 1.8604,                0.67929,                 1.1882,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                0.61327,                    2.4,                 2.1161,                 1.1319,                0.85162,                0.93381,                0.97379,                0.74215,                0.75256,                0.89017,                0.94601,                0.65802,                 1.2292,                 1.8641,                0.68208,                 1.1885,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                0.97978,                 2.8597,                 2.6477,                 1.3031,                0.86025,                0.93048,                0.97475,                0.74454,                0.74996,                0.89835,                0.94697,                0.66134,                 1.2271,                 1.8697,                0.68876,                 1.1911,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                0.64488,                 1.4594,                 1.1846,                 1.0951,                0.84339,                0.94153,                0.97164,                0.74006,                0.79396,                0.84437,                0.92997,                0.63919,                 1.2222,                 1.8755,                0.69842,                  1.192,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                0.62896,                 1.2894,                 1.1531,                 1.1246,                0.83536,                0.94169,                0.97165,                 0.7399,                0.79987,                0.84373,                0.92998,                0.65424,                 1.2165,                 1.8853,                0.70669,                 1.1913,             1.5199e-05,             1.5199e-05,             1.5199e-05
